record_type,clade,taxonID,scientificName,genus,specificEpithet,infraspecificEpithet,scientificNameID,gbif_id,lookup_method,gbif_status,gbif_confidence,accepted_name,accepted_gbif_id,accepted_gbif_url,error,Species,EDGE.rank,Family,Order,edge.med,ed.med,tbl.med,above.med.tot,above.med.perc,above.med,threat,EDGE.List,synonym_edge_keys
edge_original,gymno,Pinus_lumholtzii,Pinus lumholtzii,Pinus,lumholtzii,,,,name_match,ACCEPTED,100,Pinus lumholtzii,5285228,https://gbif.org/species/5285228,,Pinus_lumholtzii,888,Pinaceae,Pinales,0.112877074,0.951762002,0.951762,0,0.0000,n,NT,n,
edge_original,gymno,Encephalartos_laurentianus,Encephalartos laurentianus,Encephalartos,laurentianus,,,,name_match,ACCEPTED,99,Encephalartos laurentianus,2683799,https://gbif.org/species/2683799,,Encephalartos_laurentianus,889,Zamiaceae,Cycadales,0.111598503,0.89962736,0.149748,0,0.0000,n,NT,n,
edge_original,gymno,Gnetum_tenuifolium,Gnetum tenuifolium,Gnetum,tenuifolium,,,,name_match,ACCEPTED,100,Gnetum tenuifolium,2653102,https://gbif.org/species/2653102,,Gnetum_tenuifolium,890,Gnetaceae,Gnetales,0.111596309,1.892156132,1.872976,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_halepensis,Pinus halepensis,Pinus,halepensis,,,,name_match,ACCEPTED,99,Pinus halepensis,5285604,https://gbif.org/species/5285604,,Pinus_halepensis,891,Pinaceae,Pinales,0.111340582,1.808898115,1.568627,0,0.0000,n,LC,n,
edge_original,gymno,Libocedrus_austrocaledonica,Libocedrus austrocaledonica,Libocedrus,austrocaledonica,,,,name_match,ACCEPTED,100,Libocedrus austrocaledonica,2683836,https://gbif.org/species/2683836,,Libocedrus_austrocaledonica,892,Cupressaceae,Pinales,0.110738123,0.937956017,0.860223,0,0.0000,n,NT,n,
edge_original,gymno,Pinus_flexilis,Pinus flexilis,Pinus,flexilis,,,,name_match,ACCEPTED,100,Pinus flexilis,5285551,https://gbif.org/species/5285551,,Pinus_flexilis,894,Pinaceae,Pinales,0.109271589,2.099874618,2.085187,0,0.0000,n,LC,n,
edge_original,gymno,Picea_smithiana,Picea smithiana,Picea,smithiana,,,,name_match,ACCEPTED,100,Picea smithiana,5284834,https://gbif.org/species/5284834,,Picea_smithiana,893,Pinaceae,Pinales,0.110015206,1.822492325,1.822422,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_attenuata,Pinus attenuata,Pinus,attenuata,,,,name_match,ACCEPTED,100,Pinus attenuata,5285497,https://gbif.org/species/5285497,,Pinus_attenuata,896,Pinaceae,Pinales,0.107456245,1.489288903,0.600523,0,0.0000,n,LC,n,
edge_original,gymno,Ephedra_boelckei,Ephedra boelckei,Ephedra,boelckei,,,,name_match,ACCEPTED,100,Ephedra boelckei,2653359,https://gbif.org/species/2653359,,Ephedra_boelckei,895,Ephedraceae,Ephedrales,0.108494931,2.151296,2.151296,0,0.0000,n,LC,n,
edge_original,gymno,Cupressus_macnabiana,Cupressus macnabiana,Cupressus,macnabiana,,,,name_match,ACCEPTED,100,Cupressus macnabiana,2684026,https://gbif.org/species/2684026,,Cupressus_macnabiana,897,Cupressaceae,Pinales,0.107046012,1.673277538,1.516994,0,0.0000,n,LC,n,
edge_original,gymno,Abies_pindrow,Abies pindrow,Abies,pindrow,,,,name_match,ACCEPTED,99,Abies pindrow,2685683,https://gbif.org/species/2685683,,Abies_pindrow,898,Pinaceae,Pinales,0.106304466,1.8337232,1.741682091,6,0.0600,n,LC,n,
edge_original,gymno,Pinus_cembra,Pinus cembra,Pinus,cembra,,,,name_match,ACCEPTED,99,Pinus cembra,5285134,https://gbif.org/species/5285134,,Pinus_cembra,899,Pinaceae,Pinales,0.105888531,1.980727708,1.554457,0,0.0000,n,LC,n,
edge_original,gymno,Picea_spinulosa,Picea spinulosa,Picea,spinulosa,,,,name_match,ACCEPTED,99,Picea spinulosa,5284880,https://gbif.org/species/5284880,,Picea_spinulosa,900,Pinaceae,Pinales,0.1055454,1.671329929,1.522429,0,0.0000,n,LC,n,
edge_original,gymno,Abies_grandis,Abies grandis,Abies,grandis,,,,name_match,ACCEPTED,99,Abies grandis,2685361,https://gbif.org/species/2685361,,Abies_grandis,901,Pinaceae,Pinales,0.104959683,1.832527,1.832527,0,0.0000,n,LC,n,
edge_original,gymno,Cupressus_torulosa,Cupressus torulosa,Cupressus,torulosa,,,,name_match,ACCEPTED,99,Cupressus torulosa,2683955,https://gbif.org/species/2683955,,Cupressus_torulosa,902,Cupressaceae,Pinales,0.10484138,1.646115721,1.306468,0,0.0000,n,LC,n,
edge_original,gymno,Ephedra_multiflora,Ephedra multiflora,Ephedra,multiflora,,,,name_match,ACCEPTED,99,Ephedra multiflora,2653366,https://gbif.org/species/2653366,,Ephedra_multiflora,903,Ephedraceae,Ephedrales,0.104729637,1.998306468,1.9976,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_arizonica,Pinus arizonica,Pinus,arizonica,,,,name_match,ACCEPTED,100,Pinus arizonica,5285094,https://gbif.org/species/5285094,,Pinus_arizonica,904,Pinaceae,Pinales,0.104043993,1.688745,1.688745,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_patula,Pinus patula,Pinus,patula,,,,name_match,ACCEPTED,99,Pinus patula,5285090,https://gbif.org/species/5285090,,Pinus_patula,905,Pinaceae,Pinales,0.1035611,1.893508576,1.877055,0,0.0000,n,LC,n,
edge_original,gymno,Podocarpus_glaucus,Podocarpus glaucus,Podocarpus,glaucus,,,,name_match,ACCEPTED,100,Podocarpus glaucus,5285973,https://gbif.org/species/5285973,,Podocarpus_glaucus,906,Podocarpaceae,Pinales,0.103069475,2.333603354,0.185532,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_leiophylla,Pinus leiophylla,Pinus,leiophylla,,,,name_match,ACCEPTED,99,Pinus leiophylla,5285511,https://gbif.org/species/5285511,,Pinus_leiophylla,908,Pinaceae,Pinales,0.102153378,1.893819036,1.877055,0,0.0000,n,LC,n,
edge_original,gymno,Encephalartos_cycadifolius,Encephalartos cycadifolius,Encephalartos,cycadifolius,,,,name_match,ACCEPTED,100,Encephalartos cycadifolius,2683703,https://gbif.org/species/2683703,,Encephalartos_cycadifolius,907,Zamiaceae,Cycadales,0.102521732,1.911015654,1.889603,0,0.0000,n,LC,n,
edge_original,gymno,Juniperus_formosana,Juniperus formosana,Juniperus,formosana,,,,name_match,ACCEPTED,100,Juniperus formosana,2684591,https://gbif.org/species/2684591,,Juniperus_formosana,910,Cupressaceae,Pinales,0.101279108,1.93363548,1.881743,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_pumila,Pinus pumila,Pinus,pumila,,,,name_match,ACCEPTED,99,Pinus pumila,5285355,https://gbif.org/species/5285355,,Pinus_pumila,909,Pinaceae,Pinales,0.101711095,1.573321581,1.55588,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_mugo,Pinus mugo,Pinus,mugo,,,,name_match,ACCEPTED,100,Pinus mugo,5285385,https://gbif.org/species/5285385,,Pinus_mugo,911,Pinaceae,Pinales,0.100899588,1.692396927,1.394312,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_armandii,Pinus armandii,Pinus,armandii,,,,name_match,ACCEPTED,100,Pinus armandii,5285203,https://gbif.org/species/5285203,,Pinus_armandii,912,Pinaceae,Pinales,0.100726287,1.573150066,1.55588,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_morrisonicola,Pinus morrisonicola,Pinus,morrisonicola,,,,name_match,ACCEPTED,100,Pinus morrisonicola,5285538,https://gbif.org/species/5285538,,Pinus_morrisonicola,913,Pinaceae,Pinales,0.100402977,0.828375517,0.758243,0,0.0000,n,NT,n,
edge_original,gymno,Podocarpus_degeneri,Podocarpus degeneri,Podocarpus,degeneri,,,,name_match,SYNONYM,99,Podocarpus neriifolius,5286089,https://gbif.org/species/5286089,,Podocarpus_degeneri,914,Podocarpaceae,Pinales,0.099597962,0.297516547,0.155158,0,0.0000,n,NA,n,
edge_original,gymno,Ephedra_breana,Ephedra breana,Ephedra,breana,,,,name_match,ACCEPTED,100,Ephedra breana,2653397,https://gbif.org/species/2653397,,Ephedra_breana,915,Ephedraceae,Ephedrales,0.099111747,2.001294431,1.9976,0,0.0000,n,LC,n,
edge_original,gymno,Juniperus_saltillensis,Juniperus saltillensis,Juniperus,saltillensis,,,,name_match,ACCEPTED,100,Juniperus saltillensis,2684404,https://gbif.org/species/2684404,,Juniperus_saltillensis,916,Cupressaceae,Pinales,0.098981455,0.204017286,0.142633,0,0.0000,n,EN,n,
edge_original,gymno,Podocarpus_guatemalensis,Podocarpus guatemalensis,Podocarpus,guatemalensis,,,,name_match,ACCEPTED,100,Podocarpus guatemalensis,5285893,https://gbif.org/species/5285893,,Podocarpus_guatemalensis,918,Podocarpaceae,Pinales,0.096295109,1.668054017,1.656167,0,0.0000,n,LC,n,
edge_original,gymno,Podocarpus_brasiliensis,Podocarpus brasiliensis,Podocarpus,brasiliensis,,,,name_match,ACCEPTED,99,Podocarpus brasiliensis,5286081,https://gbif.org/species/5286081,,Podocarpus_brasiliensis,917,Podocarpaceae,Pinales,0.098962628,1.666981607,1.656167,0,0.0000,n,LC,n,
