RL.ID,Class,Order,Family,Kew.name,Common.name,RL.category,TBL.median,ED.median,EDGE.median,EDGE.Rank,Distribution.code,Distribution.name
238708222,CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas taiwaniana,,EN,3.189143,3.83613215131306,1.60717498291085,176,CN,China
239047689,CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas riuminiana,Arayat Pitogo,EN,3.471548,3.47659288502291,1.6067219976124,177,PH,Philippines
42108,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Zamia amplifolia,,EN,2.433067324,3.2521220177381,1.5772791786029783,178,CO,Colombia
33924,PINOPSIDA,PINALES,PINACEAE,Pinus rzedowskii,Rzedowski's Pine,VU,6.931062,6.93106201374581,1.56805009662927,179,MX,Mexico
61316,CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas micronesica,,EN,3.065033,3.07611527389237,1.53957428191087,180,"FM, GU, MP, PW","Micronesia, Federated States of , Guam, Northern Mariana Islands, Palau"
42425,PINOPSIDA,PINALES,PINACEAE,Pinus tropicalis,Tropical Pine,VU,6.674517,6.67566283442187,1.5325102316622,181,CU,Cuba
41956,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Macrozamia pauli-guilielmi,,EN,3.211852,3.21802802695104,1.53018684496134,182,AU,Australia
42117,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Zamia portoricensis,marunguey,EN,3.543063,3.54426258668201,1.52088967836494,183,PR,Puerto Rico
42147,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon purpusii,Palma Real,EN,2.663727,3.11966063725358,1.513035409067986,184,MX,Mexico
34091,PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus nakaii,,EN,3.149779,3.17605884816323,1.49870281736084,185,TW,"Taiwan, Province of China"
41904,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos eugene-maraisii,Waterberg Cycad,EN,1.459792,3.22661128549348,1.48712307600362,186,ZA,South Africa
34321,PINOPSIDA,PINALES,ARAUCARIACEAE,Agathis macrophylla,Fijian Kauri Pine,VU,4.997372,6.10750006800967,1.481068766492345,187,"FJ, SB, VU","Fiji, Solomon Islands, Vanuatu"
34026,PINOPSIDA,PINALES,TAXACEAE,Torreya californica,California Nutmeg,VU,6.376795,6.40434922393265,1.4802198772134,188,US,United States of America
42183,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Ceratozamia mixeorum,carrete,EN,3.314069,3.31409812957529,1.46319587500503,189,MX,Mexico
213256203,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Zamia skinneri,cebolla roja,EN,3.04779,3.15540622228171,1.46221657883538,190,PA,Panama
118076066,PINOPSIDA,PINALES,TAXACEAE,Amentotaxus yunnanensis,Yunnan Catkin Yew,VU,5.744909,6.0903702350357,1.41039782454443,191,"CN, LA, VN","China, Lao People's Democratic Republic, Viet Nam"
30325,PINOPSIDA,PINALES,CUPRESSACEAE,Cupressus dupreziana,Saharan Cypress,EN,2.829977,2.88797552509133,1.40799764270545,192,"DZ, MA","Algeria, Morocco"
35764,PINOPSIDA,PINALES,PINACEAE,Pinus tecunumanii,Schwerdtfeger's Pine,VU,5.890579,5.91931590062033,1.40295661886932,193,"BZ, GT, HN, MX, NI, SV","Belize, Guatemala, Honduras, Mexico, Nicaragua, El Salvador"
42112,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Zamia macrochiera,,EN,1.9595018825,2.86542740994417,1.3897322938229224,194,PE,Peru
42137,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Zamia purpurea,,CR,0.571508,1.54969478040698,1.38528093855343,195,MX,Mexico
41922,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos princeps,Kei Cycad,VU,5.477821,5.534775827769,1.36341766800855,196,ZA,South Africa
178880,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon argenteum,,VU,5.957589,5.9586404774958,1.35801918917959,197,MX,Mexico
42036,CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas beddomei,Beddome’s Cycas,EN,2.350704,2.64314415250787,1.34118580096886,198,IN,India
32463,PINOPSIDA,PINALES,PINACEAE,Abies fanjingshanensis,,EN,2.707705,2.70770500003891,1.33296970937231,199,CN,China
31618,PINOPSIDA,PINALES,CUPRESSACEAE,Juniperus saxicola,Sabina,CR,1.39216,1.39216142392816,1.29608141313002,200,CU,Cuba
42103,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Ceratozamia zaragozae,,EN,2.28494,2.5079885816602,1.216374462105197,201,MX,Mexico
212187677,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Ceratozamia zoquorum,,CR,0.817654,1.32017304455591,1.21568793188741,202,MX,Mexico
42540,PINOPSIDA,PINALES,PODOCARPACEAE,Prumnopitys montana,Diablo Fuerte,VU,0.952883,5.34126026448888,1.19824519228669,203,"BO, CO, EC, PE, VE","Bolivia, Plurinational State of, Colombia, Ecuador, Peru, Venezuela, Bolivarian Republic of"
178875,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Ceratozamia huastecorum,,CR,0.817654,1.32250314794975,1.18516614605182,204,MX,Mexico
32479,PINOPSIDA,PINALES,PINACEAE,Picea chihuahuana,Chihuahua Spruce,EN,2.433958,2.43398859003412,1.18027335680139,205,MX,Mexico
41906,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos kisambo,Voi Cycad,EN,1.724394,2.39792877451,1.17640723800899,206,"KE, TZ","Kenya, Tanzania, United Republic of"
41925,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos senticosus,Jozini Cycad,VU,2.000672,5.03191513967787,1.15917442828709,207,"MZ, SZ, ZA","Mozambique, Eswatini, South Africa"
41921,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos paucidentatus,Barberton Cycad,VU,4.971416,4.971416,1.14966404774973,208,"SZ, ZA","Eswatini, South Africa"
42102,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Ceratozamia norstogii,,EN,2.240955,2.28348593028654,1.14239174990684,209,MX,Mexico
41916,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos gratus,Mulanje Cycad,VU,4.82238,4.82238000002479,1.13411179448944,210,"MW, MZ","Malawi, Mozambique"
42076,CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas guizhouensis,,VU,5.083149,5.29354047094604,1.12347641968549,211,CN,China
42217,PINOPSIDA,PINALES,CUPRESSACEAE,Cupressus chengiana,Cheng Cypress,VU,4.669921,4.66992902278921,1.10632335460047,212,CN,China
42135,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Zamia lacandona,,EN,0.704532,2.30351291126869,1.09685644155261,213,MX,Mexico
41764,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos relictus,,EW,0.935527,1.14579046178812,1.08722230595155,214,0,0
41918,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos macrostrobilus,,EN,2.291509,2.3302317153198,1.08369754689947,215,UG,Uganda
178868,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon angustifolium,,VU,4.600817,4.62206898280574,1.08124802668921,216,MX,Mexico
42488,PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus archboldii,,VU,4.700354,4.70544806997914,1.07334638784705,217,"ID, PG","Indonesia, Papua New Guinea"
42129,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon holmgrenii,Sun Palm,VU,4.310354,4.33822781199741,1.0520202444093718,218,MX,Mexico
212754607,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Ceratozamia fuscoviridis,,EN,2.131072,2.1368414238578,1.0363680905710329,219,MX,Mexico
42060,CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas nongnoochiae,,VU,4.307308,4.4368098500774,1.0338579122402,220,TH,Thailand
30995,PINOPSIDA,PINALES,CUPRESSACEAE,Libocedrus chevalieri,,CR,0.860223,1.08074899703795,1.02507822721315,221,NC,New Caledonia
39068,PINOPSIDA,PINALES,PINACEAE,Pinus palustris,Longleaf Pine,EN,1.773865,2.00927276261942,1.01010885289554,222,US,United States of America
42532,PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus sprucei,Guabisay,EN,2.086208,2.15107544293157,1.00889707055885,223,"EC, PE","Ecuador, Peru"
32996,PINOPSIDA,PINALES,PINACEAE,Picea martinezii,Martinez's Spruce,EN,1.962885,1.96303460320536,0.968286452799065,224,MX,Mexico
32336,PINOPSIDA,PINALES,CUPRESSACEAE,Cupressus gigantea,,VU,4.008476,4.00965465051418,0.934360466114042,225,CN,China
41886,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos dyerianus,Lillie Cycad,CR,0.753352,1.01615833116937,0.931971438890465,226,ZA,South Africa
41894,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos msinganus,Msinga Cycad,CR,0.942643,0.955319056858827,0.911774416498544,227,ZA,South Africa
42126,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Ceratozamia morettii,,EN,1.78657,1.89509617311248,0.899940303067197,228,MX,Mexico
34104,PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus transiens,,EN,1.855266,1.95230378384309,0.894977354902904,229,BR,Brazil
32052,PINOPSIDA,PINALES,CUPRESSACEAE,Pilgerodendron uviferum,Guaitecas Cypress,VU,3.750902,3.84064205538945,0.893823220420797,230,"AR, CL","Argentina, Chile"
41926,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos trispinosus,Bushman's River Cycad,VU,3.67643,3.85859150873088,0.886794947924323,231,ZA,South Africa
179414474,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon tomasellii,palma de la Virgen,VU,2.839601,3.19346438774744,0.853791759631082,232,MX,Mexico
31254,PINOPSIDA,PINALES,CUPRESSACEAE,Calocedrus formosana,Taiwan Incense-Cedar,EN,1.27037,1.66791929726646,0.849657248232431,233,TW,"Taiwan, Province of China"
42122,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Ceratozamia alvarezii,,EN,1.131586,1.67498945556639,0.837523482402441,234,MX,Mexico
178863,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Ceratozamia mirandae,,EN,1.701518,1.70533770244265,0.82110076706659,235,MX,Mexico
42127,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Ceratozamia sabatoi,,EN,1.521041,1.58050983213021,0.817834485156628,236,MX,Mexico
41902,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos chimanimaniensis,Chimanimani Cycad,EN,1.649174,1.65005282367261,0.8138166050058,237,MZ,Mozambique
34047,PINOPSIDA,PINALES,CUPRESSACEAE,Hesperocyparis bakeri,Baker Cypress,VU,3.413802,3.4138077347751,0.813034238225135,238,US,United States of America
42125,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Ceratozamia matudae,,EN,1.131586,1.71455859717904,0.800640954152141,239,"GT, MX","Guatemala, Mexico"
30313,PINOPSIDA,PINALES,PINACEAE,Picea omorika,Serbian Spruce,EN,1.706081,1.71062743522118,0.799307737986882,240,"BA, RS","Bosnia and Herzegovina, Serbia"
32770,PINOPSIDA,PINALES,PODOCARPACEAE,Afrocarpus mannii,,VU,3.413254,3.41600930611439,0.795805102668676,241,ST,Sao Tome and Principe
31270,PINOPSIDA,PINALES,PINACEAE,Picea brachytyla,Sargent's Spruce,VU,3.382161,3.38216862703019,0.788944810102222,242,"CN, IN, MM","China, India, Myanmar"
41927,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos umbeluziensis,Umbeluzi Cycad,EN,1.603206,1.66185601701036,0.782543445818763,243,"MZ, SZ","Mozambique, Eswatini"
42146,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon merolae,Nimalari,VU,2.663727,3.10177666946531,0.7649346665672,244,MX,Mexico
133722,PINOPSIDA,PINALES,CUPRESSACEAE,Calocedrus rupestris,,EN,1.029483,1.44422349844307,0.754534051127532,245,"CN, VN","China, Viet Nam"
32320,PINOPSIDA,PINALES,PINACEAE,Abies ziyuanensis,Ziyuan Fir,EN,1.499278,1.49927800017171,0.75194447754845,246,CN,China
34074,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris monticola,Steelhead,VU,3.285314,3.28594267165325,0.747835350055672,247,AU,Australia
31245,PINOPSIDA,PINALES,CUPRESSACEAE,Thuja koraiensis,Korean Arbor-vitae,VU,3.049428,3.17404125330179,0.740074454248573,248,"CN, KP, KR","China, Korea, Democratic People's Republic of, Korea, Republic of"
42219,PINOPSIDA,PINALES,CUPRESSACEAE,Hesperocyparis goveniana,Gowen Cypress,EN,1.516994,1.53524898972561,0.735036886206994,249,US,United States of America
42220,PINOPSIDA,PINALES,CUPRESSACEAE,Hesperocyparis guadalupensis,Guadalupe Cypress,EN,1.359731,1.37193943878776,0.722528588053195,250,"MX, US","Mexico, United States of America"
42424,PINOPSIDA,PINALES,PINACEAE,Pinus torreyana,Torrey Pine,CR,0.715432,0.768823144550525,0.720001911414298,251,US,United States of America
30996,PINOPSIDA,PINALES,CUPRESSACEAE,Libocedrus yateensis,,EN,1.117405,1.46537783318266,0.718686034069004,252,NC,New Caledonia
32368,PINOPSIDA,PINALES,PINACEAE,Pinus wangii,,EN,1.554457,1.60232596479023,0.714077830194987,253,CN,China
32101,PINOPSIDA,PINALES,PINACEAE,Abies fraseri,Fraser's Fir,EN,1.426942,1.42694219906447,0.706567286186742,254,US,United States of America
41891,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos laevifolius,Kaapsehoop Cycad,CR,0.463737,0.791016846532032,0.706295345880603,255,"SZ, ZA","Eswatini, South Africa"
41964,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Macrozamia lomandroides,,EN,1.297807,1.44918560655763,0.695485809275774,256,AU,Australia
42329,PINOPSIDA,PINALES,PINACEAE,Picea maximowiczii,Maximowicz's Spruce,EN,1.187415,1.38325300118742,0.694309134052196,257,JP,Japan
30320,PINOPSIDA,PINALES,PINACEAE,Abies numidica,Algerian Fir,CR,0.680957,0.705679496219431,0.641206225730656,258,DZ,Algeria
